bias_abs_V,input_a_V,input_b_V,common_V,output_A,effective_mA,delta_M_independent
8.0,11.152,-4.0,-1.3516697424437982,-0.021869507426171716,21.869507426171715,0.1096578698072414
8.0,11.315999999999999,-4.0,-1.301007955924563,-0.022036158039721834,22.036158039721833,0.11860506135509613
8.0,11.479999999999999,-4.0,-1.2503461694053286,-0.022202808653271944,22.202808653271944,0.12786615914314237
8.0,11.643999999999998,-4.0,-1.199684382886094,-0.02236945926682206,22.36945926682206,0.13739803849462
8.0,11.807999999999998,-4.0,-1.1490225963668594,-0.022536109880372173,22.536109880372173,0.147151600007199
8.0,11.971999999999998,-4.0,-1.0983608098476243,-0.02270276049392229,22.70276049392229,0.15707265472475657
8.0,12.136,-4.0,-1.0476990233283892,-0.0228694111074724,22.869411107472402,0.1671030499587623
8.0,12.299999999999999,-4.0,-0.9970372368091545,-0.02303606172102252,23.03606172102252,0.17718199056019185
8.0,12.463999999999999,-4.0,-0.9463754502899193,-0.023202712334572634,23.202712334572634,0.1872474942693892
8.0,12.627999999999998,-4.0,-0.8957136637706847,-0.023369362948122748,23.36936294812275,0.19723790826312765
8.0,12.791999999999998,-4.0,-0.8450518772514501,-0.023536013561672862,23.536013561672863,0.20709340865944076
8.0,12.955999999999998,-4.0,-0.7943900907322156,-0.023702664175222977,23.702664175222978,0.21675740623960865
8.0,13.119999999999997,-4.0,-0.7437283042129804,-0.02386931478877309,23.869314788773092,0.2261777898039113
8.0,13.283999999999999,-4.0,-0.6930665176937453,-0.024035965402323205,24.035965402323207,0.23530795232435403
8.0,13.447999999999999,-4.0,-0.6424047311745106,-0.024202616015873323,24.202616015873325,0.24410756264998307
8.0,13.611999999999998,-4.0,-0.5917429446552754,-0.024369266629423434,24.369266629423436,0.2525430648473657
8.0,13.775999999999998,-4.0,-0.5410811581360409,-0.02453591724297355,24.535917242973547,0.2605879061885347
8.0,13.939999999999998,-4.0,-0.49041937161680627,-0.024702567856523666,24.702567856523665,0.26822251149240234
8.0,14.103999999999997,-4.0,-0.4397575850975717,-0.024869218470073777,24.869218470073776,0.27543403466029176
8.0,14.267999999999999,-4.0,-0.389095798578336,-0.025035869083623895,25.035869083623894,0.2822159271173868
8.0,14.431999999999999,-4.0,-0.3384340120591014,-0.02520251969717401,25.202519697174008,0.28856736737923966
8.0,14.595999999999998,-4.0,-0.2877722255398668,-0.02536917031072412,25.36917031072412,0.2944925965041774
8.0,14.759999999999998,-4.0,-0.23711043902063167,-0.025535820924274238,25.535820924274237,0.30000020150706547
8.0,14.923999999999998,-4.0,-0.18644865250139706,-0.025702471537824352,25.70247153782435,0.3051023838063111
8.0,15.087999999999997,-4.0,-0.13578686598216247,-0.025869122151374463,25.869122151374462,0.3098142433819389
8.0,15.251999999999999,-4.0,-0.08512507946292731,-0.02603577276492458,26.03577276492458,0.3141531023715776
8.0,15.415999999999999,-4.0,-0.03446329294369218,-0.0262024233784747,26.2024233784747,0.3181378849940331
8.0,15.579999999999998,-4.0,0.01619849357554242,-0.02636907399202481,26.36907399202481,0.32178856444743825
8.0,15.743999999999998,-4.0,0.06686028009477703,-0.026535724605574927,26.535724605574927,0.32512568207610176
8.0,15.907999999999998,-4.0,0.11752206661401216,-0.026702375219125038,26.702375219125038,0.3281699397728051
8.0,16.072,-4.0,0.1681838531332473,-0.026869025832675152,26.869025832675153,0.3309418632932835
8.0,16.235999999999997,-4.0,0.21884563965248136,-0.02703567644622527,27.03567644622527,0.3334615318329948
8.0,16.4,-4.0,0.2695074261717165,-0.027202327059775388,27.20232705977539,0.3357483677275796
8.0,0.0,-8.0,-5.5286933405251295,-0.00812929822195681,8.12929822195681,0.0
8.0,0.16399999999999998,-8.0,-5.478031554005895,-0.008295948835506925,8.295948835506925,0.0
8.0,0.32799999999999996,-8.0,-5.427369767486659,-0.008462599449057043,8.462599449057043,0.0
8.0,0.49199999999999994,-8.0,-5.376707980967425,-0.008629250062607154,8.629250062607154,0.0
8.0,0.6559999999999999,-8.0,-5.32604619444819,-0.00879590067615727,8.79590067615727,0.0
8.0,0.8199999999999998,-8.0,-5.2753844079289545,-0.008962551289707387,8.962551289707388,0.0
8.0,0.9839999999999999,-8.0,-5.224722621409721,-0.009129201903257497,9.129201903257497,0.0
8.0,1.148,-8.0,-5.1740608348904855,-0.009295852516807613,9.295852516807612,0.0
8.0,1.3119999999999998,-8.0,-5.12339904837125,-0.00946250313035773,9.46250313035773,0.0
8.0,1.4759999999999998,-8.0,-5.072737261852017,-0.00962915374390784,9.629153743907839,0.0
8.0,1.6399999999999997,-8.0,-5.022075475332781,-0.009795804357457957,9.795804357457957,0.0
8.0,1.8039999999999998,-8.0,-4.971413688813546,-0.009962454971008073,9.962454971008073,0.0
8.0,1.9679999999999997,-8.0,-4.920751902294312,-0.010129105584558184,10.129105584558184,0.0
8.0,2.1319999999999997,-8.0,-4.870090115775076,-0.010295756198108302,10.295756198108302,0.0
8.0,2.296,-8.0,-4.8194283292558415,-0.010462406811658416,10.462406811658417,0.0
8.0,2.4599999999999995,-8.0,-4.768766542736607,-0.010629057425208529,10.62905742520853,0.0
8.0,2.6239999999999997,-8.0,-4.718104756217372,-0.010795708038758645,10.795708038758645,0.0
8.0,2.788,-8.0,-4.667442969698137,-0.01096235865230876,10.96235865230876,0.0
8.0,2.9519999999999995,-8.0,-4.616781183178903,-0.011129009265858872,11.129009265858873,0.0
8.0,3.1159999999999997,-8.0,-4.566119396659667,-0.01129565987940899,11.295659879408989,0.0
8.0,3.2799999999999994,-8.0,-4.515457610140433,-0.011462310492959102,11.462310492959102,0.0
8.0,3.4439999999999995,-8.0,-4.464795823621198,-0.011628961106509217,11.628961106509216,0.0
8.0,3.6079999999999997,-8.0,-4.414134037101963,-0.011795611720059333,11.795611720059332,0.0
8.0,3.7719999999999994,-8.0,-4.363472250582729,-0.011962262333609445,11.962262333609445,0.0
8.0,3.9359999999999995,-8.0,-4.312810464063493,-0.012128912947159561,12.128912947159561,0.0
8.0,4.1,-8.0,-4.262148677544259,-0.012295563560709676,12.295563560709676,0.0
8.0,4.263999999999999,-8.0,-4.211486891025023,-0.012462214174259792,12.462214174259792,0.0
8.0,4.427999999999999,-8.0,-4.160825104505789,-0.012628864787809904,12.628864787809905,0.0
8.0,4.592,-8.0,-4.110163317986554,-0.012795515401360018,12.795515401360019,0.0
8.0,4.755999999999999,-8.0,-4.059501531467319,-0.012962166014910135,12.962166014910135,0.0
8.0,4.919999999999999,-8.0,-4.008839744948085,-0.013128816628460249,13.12881662846025,0.0
